,doing business as name,address,city_x,state_x,zip_code,license description,business activity id,business activity,application type,date issued,expiration,latitude_x,latitude_y,license_id,active_id,name,review_count,rating,price
417,BEACON TAVERN,405 n wabash ave 1,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,05/15/2018,2020-05-15,41.889465329000004,41.8897666931152,12571,2933,Bongiorno's Italian Deli & Pizzeria,544,4.0,$
418,BEACON TAVERN,405 n wabash ave 1,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,05/15/2018,2020-05-15,41.889465329000004,41.88945,12571,2933,Beacon Tavern,470,4.0,$$
419,BONGIORNO'S ITALIAN DELI & PIZZERIA,405 n wabash ave 1st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/08/2017,2019-03-15,41.889465329000004,41.8897666931152,3490,7560,Bongiorno's Italian Deli & Pizzeria,544,4.0,$
420,BONGIORNO'S ITALIAN DELI & PIZZERIA,405 n wabash ave 1st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/08/2017,2019-03-15,41.889465329000004,41.88945,3490,7560,Beacon Tavern,470,4.0,$$
421,SWEET MAPLE CAFE,1339 w taylor st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/15/2018,2020-05-15,41.869242742,41.869122999999995,12574,2934,Sweet Maple Cafe,763,4.0,$$
422,ALHAMBRA PALACE RESTAURANT,"1240 w randolph st 1, 2",CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/15/2018,2020-05-15,,41.884609999999995,12586,2940,Alhambra Palace,628,3.0,$$$
423,THAI BOWL,1049 w taylor st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/10/2018,2020-05-15,41.869366868,41.8692207336426,12481,2952,Thai Bowl,375,3.5,$
424,EDWARDO'S PIZZA,1212 n dearborn st,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,06/13/2018,2020-05-15,41.90434217,41.90439,13120,2955,Eduardo's Enoteca,340,4.0,$$
425,PALACE GRILL,1408 w madison st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/11/2018,2020-05-15,41.881641206,41.88178,12500,2958,Palace Grill,341,4.5,$
426,VIAGGIO,1330 w madison st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/11/2018,2020-05-15,41.88166488,41.88179,12501,2959,Viaggio Ristorante & Lounge,659,4.5,$$
427,RANDOLPH TAVERN,188 w randolph st 1 1 and 2,CHICAGO,IL,60601,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,05/11/2018,2020-05-15,41.884579663000004,41.8846111655354,12508,2960,Randolph Tavern,344,3.0,$$
428,TURQUOISE CAFE,2147 w roscoe st bsmt-1st,CHICAGO,IL,60618,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/14/2018,2020-05-15,41.943054831,41.942890000000006,12523,2963,Turquoise Restaurant,649,4.0,$$
429,LA SIRENA CLANDESTINA,954 w fulton market,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/15/2018,2020-05-15,41.886851116,41.887103,12604,3000,La Sirena Clandestina,486,4.0,$$
430,ZIZI'S CAFE,2825 n sheffield ave 1st,CHICAGO,IL,60657,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/15/2018,2020-05-15,41.933439811999996,41.9333149343307,12614,3004,Zizi's Cafe,540,4.5,$$
431,POMPEI BAKERY,1531 w taylor st  1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/04/2018,2020-05-15,41.869170243,41.8691074404,12328,3022,Pompei,405,3.5,$
432,CHEZ JOEL,1119 w taylor st  1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/04/2018,2020-05-15,41.869332279,41.869209999999995,12339,3025,Chez Joel Bistro,351,4.5,$$$
433,THE PUBLICAN,837 w fulton market,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/07/2018,2020-05-15,41.886669847,41.886644,12369,3035,The Publican,3059,4.0,$$$
434,FRANCESCA'S ON TAYLOR,1400 w taylor st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/08/2018,2020-05-15,41.869448277,41.869426000000004,12402,3055,Francesca's on Taylor,456,4.0,$$
435,DAVANTI ENOTECCA,1359 w taylor st 1st,CHICAGO,IL,60607,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/08/2018,2020-05-15,41.869230901,41.86911,12389,3058,Davanti Enoteca,1163,4.0,$$
436,AROY THAI RESTAURANT,4654 n damen ave 1st,CHICAGO,IL,60625,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,03/16/2018,2020-04-15,41.966744575,41.966782,11231,3078,Aroy Thai Restaurant,387,4.0,$$
437,THE GAGE,24 s michigan ave 1st,CHICAGO,IL,60603,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/23/2018,2020-04-15,41.881514411,41.881369,11395,3093,The Gage,2645,4.0,$$
438,CHICAGO CHOP HOUSE,60 w ontario st ll-3,CHICAGO,IL,60654,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,ISSUE,03/26/2018,2020-04-15,41.893349277,41.89349,11422,3101,Chicago Chop House,672,3.5,$$$$
439,CHICAGO CHOP HOUSE,"60 w ontario st 1st, 2nd, 3rd",CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/04/2017,2019-05-15,,41.89349,4239,6834,Chicago Chop House,672,3.5,$$$$
440,PLYMOUTH RESTAURANT,327 s plymouth ct,CHICAGO,IL,60604,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/06/2018,2020-04-15,41.87743774,41.877483000000005,10876,3134,Plymouth Rooftop Bar & Grill,451,3.0,$$
441,"ITALIAN VILLAGE RESTAURANT, INC.",71 w monroe st,CHICAGO,IL,60603,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/02/2018,2020-04-15,41.880591895,41.880595,10835,3135,The Italian Village Restaurants,899,3.5,$$
442,OASIS CAFE,21 n wabash ave 1,CHICAGO,IL,60602,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/06/2018,2020-04-15,41.882567066,41.882754999999996,10878,3136,Oasis Cafe,404,4.0,$
443,ROISTER,951 w fulton market  1,CHICAGO,IL,60607,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,03/08/2018,2020-04-15,41.886634054,41.886524,10914,3143,Roister,509,4.0,$$$$
444,BERGHOFF'S,17 w adams st bsmt & 1st,CHICAGO,IL,60603,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,02/26/2018,2020-04-15,41.879341939,41.8793326,10744,3148,The Berghoff Restaurant,967,3.5,$$
445,MAX'S TAKE OUT,20 e adams st,CHICAGO,IL,60603,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/12/2018,2020-04-15,41.879608125,41.87972,11876,3176,Max's Take Out,460,4.0,$
446,KABOBI,4748 n kedzie ave 1st,CHICAGO,IL,60625,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,04/09/2018,2020-04-15,41.968077353000005,41.9680551997115,11679,3187,Kabobi Grill,514,4.5,$$
447,ANJANI FOOD & LIQUOR INC.,2501 w lawrence ave 1st e,CHICAGO,IL,60625,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/17/2018,2020-04-15,41.96848269,41.968252500000006,11945,3207,Isla Pilipina,728,4.0,$$
448,ISLA PILIPINA RESTAURANT,2501 w lawrence ave  d,CHICAGO,IL,60625,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,09/27/2017,2019-09-15,41.96848269,41.968252500000006,6747,5286,Isla Pilipina,728,4.0,$$
449,"COFFEE SLASTICARNA DRINA, INC.",2501 w lawrence ave 1st,CHICAGO,IL,60625,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,09/11/2017,2019-09-15,41.96848269,41.968252500000006,6383,5287,Isla Pilipina,728,4.0,$$
450,LITTLE CAESARS PIZZA TREAT #1627,2501 w lawrence ave  1-627,CHICAGO,IL,60625,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/15/2017,2019-05-15,41.96848269,41.968252500000006,5107,6923,Isla Pilipina,728,4.0,$$
451,HOT WOKS COOL SUSHI,30 s michigan ave  1,CHICAGO,IL,60603,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/13/2018,2020-04-15,41.881371062,41.88114,11893,3226,Hot Woks Cool Sushi,567,3.5,$$
452,MILLER'S PUB & RESTAURANT,134 s wabash ave 1st,CHICAGO,IL,60603,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/01/2018,2020-04-15,41.87994706,41.8802765,13683,3257,Miller's Pub,1080,3.5,$$
453,PHILLY'S BEST,907 w belmont ave,CHICAGO,IL,60657,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/03/2018,2020-04-15,41.939834293000004,41.939659999999996,11547,3261,Philly's Best,355,3.5,$
454,RUSSIAN TEA TIME,77 e adams st,CHICAGO,IL,60603,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,04/06/2018,2020-04-15,41.879436243,41.8793955,11672,3273,Russian Tea Time,559,4.0,$$$
455,HOTEL BLAKE,500 s dearborn st 1st - 11th,CHICAGO,IL,60605,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/31/2018,2020-03-15,41.87556911,41.875586,10028,3314,Meli Cafe,462,3.5,$$
456,MELI CAFE ON DEARBORN,500 s dearborn st,CHICAGO,IL,60605,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,12/14/2017,2019-12-15,41.87556911,41.875586,9208,4353,Meli Cafe,462,3.5,$$
457,TRATTORIA #10,10 n dearborn st,CHICAGO,IL,60602,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/20/2018,2020-03-15,41.882215698,41.88242721557621,10599,3333,Trattoria No. 10,561,4.0,$$$
458,SOPRAFFINA,10 n dearborn st,CHICAGO,IL,60602,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/20/2018,2020-03-15,41.882215698,41.88242721557621,10607,3354,Trattoria No. 10,561,4.0,$$$
459,EN HAKKORE 2.0,1467 n milwaukee ave,CHICAGO,IL,60622,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,02/16/2018,2020-03-15,41.908653909,41.90869,10562,3340,En Hakkore 2.0,372,4.5,$$
460,PITTSFIELD CAFE,55 e washington st 1st,CHICAGO,IL,60602,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/21/2018,2020-03-15,41.883111686999996,41.883263,10615,3353,Pittsfield Cafe,580,4.0,$
461,The Bongo Room,5022 n clark st 1 st,CHICAGO,IL,60640,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/14/2018,2020-03-15,,41.973183,11134,3366,The Bongo Room,591,4.0,$$
462,Hannahs Bretzel 180 W. Washington LLC,180 w washington st,CHICAGO,IL,60602,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,05/29/2018,2020-03-15,41.883317894,41.883328998214296,12871,3383,Hannah's Bretzel,431,4.0,$$
463,PROTEIN BAR,1 w wacker dr arcade,CHICAGO,IL,60601,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/22/2018,2020-03-15,41.886704229,41.8859149826022,11365,3387,Wow Bao,547,3.5,$
464,RENAISSANCE CHICAGO HOTEL,1 w wacker dr  great,CHICAGO,IL,60601,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,02/28/2017,2019-03-15,41.886704229,41.8859149826022,3302,7352,Wow Bao,547,3.5,$
465,PORKCHOP HYDE PARK,1516 e harper ct 1,CHICAGO,IL,60615,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,04/04/2018,2020-03-15,41.800409887,41.8002681913942,11582,3394,Porkchop,365,2.5,$$
466,EDDIE V'S WILD FISH,521 n rush st,CHICAGO,IL,60611,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,03/08/2018,2020-03-15,41.8916713,41.891544320187,10913,3410,Eddie V's Prime Seafood and Steaks,611,4.5,$$$
467,EL HABANERO INC.,3300 w fullerton ave 1st,CHICAGO,IL,60647,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,03/07/2018,2020-03-15,41.924785635,41.92496,10886,3418,El Habanero,410,4.5,$
468,TAVERN ON RUSH,1031 n rush st 1st,CHICAGO,IL,60611,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/12/2018,2020-03-15,41.901642657,41.9018219998443,11000,3426,Tavern On Rush,917,3.5,$$$
469,ROCK BOTTOM RESTAURANT & BREWERY,1 w grand ave,CHICAGO,IL,60610,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/25/2018,2020-03-15,41.891559042,41.8915042,9941,3433,Rock Bottom Restaurant & Brewery,993,3.5,$$
470,KIZUKI RAMEN AND IZAKAYA,1482 n milwaukee ave 1,CHICAGO,IL,60622,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,RENEW,01/26/2018,2020-03-15,41.908819096,41.9086527897632,9959,3437,Kizuki Ramen & Izakaya,547,4.0,$$
471,GT FISH & OYSTERS,531 n wells st,CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/23/2018,2020-02-15,41.891629914,41.8917501928574,9866,3441,GT Fish & Oyster,1420,4.0,$$$
472,FARMHOUSE,228 w chicago ave 1st & 2nd,CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/02/2018,2020-02-15,41.896700058,41.896859899999995,10822,3456,Farmhouse Chicago,1222,4.0,$$
473,25 DEGREES,736 n clark st,CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/02/2018,2020-02-15,41.895939669,41.89595,10833,3466,25 Degrees,860,4.0,$$
474,MAGGIANO'S LITTLE ITALY,516 n clark st  first,CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/24/2018,2020-02-15,41.891439309,41.8913803100586,9887,3467,Maggiano's Little Italy,686,4.0,$$
475,VERMILION,10 w hubbard st 1,CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,03/23/2018,2020-02-15,41.890168585,41.8901732672856,17865,3470,Vermilion,659,3.0,$$$
476,Theory Sports Div Lounge,9 w hubbard st 1,CHICAGO,IL,60654,Retail Food Establishment,775,Retail Sales of Perishable Foods,RENEW,01/08/2018,2020-02-15,41.889949311,41.8899748,9519,3471,Theory,737,4.0,$$
