,name,address1,address2,address3,city,state,zip_code,latitude,longitude,review_count,rating,price
371,En Hakkore,1840 N Damen Ave,,,Chicago,IL,60647,41.9150939,-87.6777957,664,4.5,$$
372,Monteverde,1020 W Madison St,,,Chicago,IL,60607,41.88191,-87.65302,662,4.5,$$$
373,MingHin Cuisine,333 E Benton Pl,Ste 300,,Chicago,IL,60601,41.8851133316306,-87.6191340577136,660,4.0,$$
374,Bittersweet Pastry Shop,1114 W Belmont Ave,,,Chicago,IL,60657,41.94013,-87.65729,660,4.0,$$
375,Vermilion,10 W Hubbard St,,,Chicago,IL,60654,41.8901732672856,-87.6284838567184,659,3.0,$$$
376,Viaggio Ristorante & Lounge,1330 W Madison St,,,Chicago,IL,60607,41.88179,-87.6609,659,4.5,$$
377,Dinkel's Bakery,3329 N Lincoln Ave,,,Chicago,IL,60657,41.9424245735863,-87.6704134610592,658,4.0,$
378,Frasca Pizzeria and Wine Bar,3358 N Paulina St,,,Chicago,IL,60657,41.9430502,-87.6713149,658,4.0,$$
379,PR Italian Bistro,3908 N Sheridan Rd,,,Chicago,IL,60613,41.953063,-87.654755,657,4.0,$$
380,Mother Cluckers Kitchen,5200 N Elston Ave,,,Chicago,IL,60630,41.9752685744915,-87.7522482539673,657,4.5,$$
381,Ras Dashen Ethiopian Restaurant,5846 N Broadway St,,,Chicago,IL,60660,41.9885039,-87.6604057,657,4.0,$$
382,Nookies,1746 N Wells St,,,Chicago,IL,60614,41.91427,-87.63508,656,4.0,$$
383,Toni Patisserie & Cafe,65 E Washington St,,,Chicago,IL,60602,41.8831251,-87.6257316,656,4.0,$$
384,Chicago's Home Of Chicken & Waffles,3947 S King Dr,,,Chicago,IL,60653,41.82229,-87.61632,655,3.5,$$
385,Las Palmas,1835 W North Ave,,,Chicago,IL,60622,41.910266,-87.673935,655,4.0,$$
386,La Crêperie,2845 N Clark St,,,Chicago,IL,60657,41.934059,-87.645708,655,4.0,$$
387,Athena Greek Restaurant,212 S Halsted St,,,Chicago,IL,60661,41.87864,-87.64762,652,3.5,$$
388,The Scout Waterhouse + Kitchen,1301 S Wabash Ave,,,Chicago,IL,60605,41.8657449359089,-87.6255132110611,652,3.0,$$
389,Bistro Campagne,4518 N Lincoln Ave,,,Chicago,IL,60625,41.96356,-87.68563,650,4.0,$$$
390,Turquoise Restaurant,2147 W Roscoe St,,,Chicago,IL,60618,41.94289,-87.68265,649,4.0,$$
391,Mott St,1401 N Ashland Ave,,,Chicago,IL,60622,41.9071254164458,-87.6673834605751,649,4.0,$$
392,Taste of Lebanon Restaurant,1509 W Foster Ave,,,Chicago,IL,60640,41.9760635,-87.6686494,648,4.5,$
393,The Fifty/50,2047 W Division St,,,Chicago,IL,60622,41.90301427628,-87.6788022511999,647,3.5,$$
394,Noodles In the Pot,2453 N Halsted St,,,Chicago,IL,60614,41.9269149578037,-87.6487970352173,647,4.0,$$
395,Next,953 W Fulton Market,,,Chicago,IL,60607,41.886641182708,-87.6519030656,646,4.0,$$$$
396,LYFE Kitchen,413 North Clark St,,,Chicago,IL,60654,41.8897715425784,-87.6308315944427,645,4.0,$$
397,The Allis,113-125 N Green St,Soho House Chicago,,Chicago,IL,60607,41.88374,-87.64828,644,4.0,$$
398,Vapiano Chicago Loop,44 S Wabash Ave,,,Chicago,IL,60603,41.880982,-87.626392,644,3.5,$$
399,Go 4 Food,212 W 23rd St,,,Chicago,IL,60616,41.851085,-87.6326203,643,4.0,$$
400,A Taste Of Heaven,5401 N Clark St,,,Chicago,IL,60640,41.9799884,-87.6681389,643,4.0,$$
401,Cesar's Killer Margaritas - Clark,3166 N Clark St,,,Chicago,IL,60657,41.9394515143197,-87.6505812823541,642,3.0,$$
402,Luella's Southern Kitchen,4609 N Lincoln Ave,,,Chicago,IL,60625,41.9652587902013,-87.686160877347,642,4.0,$$
403,Chicago Bagel Authority,953 W Armitage Ave,,,Chicago,IL,60614,41.9178624,-87.6529861,642,4.0,$
404,Nutella Cafe,189 N Michigan Ave,,,Chicago,IL,60601,41.8855589,-87.6243248,640,3.0,$$
405,Mia Francesca,3311 N Clark St,,,Chicago,IL,60657,41.9420064,-87.6523323,637,4.0,$$
406,Triple Crown Restaurant,2217 S Wentworth Ave,,,Chicago,IL,60616,41.852477,-87.6318687435513,637,3.5,$$
407,Cochon Volant Brasserie,100 W Monroe St,,,Chicago,IL,60603,41.8807911918252,-87.6310143247247,636,4.0,$$
408,Flub A Dub Chub's,3021 N Broadway,,,Chicago,IL,60657,41.93717,-87.64401,635,4.5,$
409,State Restaurant,935 W Webster Ave,,,Chicago,IL,60614,41.9215,-87.65248,634,3.5,$$
410,Folklore Argentine Grill,2100 W Division St,,,Chicago,IL,60622,41.9034461975098,-87.6799240112305,634,4.0,$$
411,Kit Kat Lounge & Supper Club,3700 N Halsted St,,,Chicago,IL,60613,41.949263828004,-87.6497471053475,628,3.5,$$
412,Alhambra Palace,1240 W Randolph St,,,Chicago,IL,60607,41.88461,-87.65837,628,3.0,$$$
413,Pastoral,53 E Lake St,,,Chicago,IL,60601,41.8856159,-87.6260252,622,4.0,$$
414,Prosecco,710 N Wells St,,,Chicago,IL,60654,41.8952140808105,-87.6345138549805,619,4.0,$$$
415,Cafe Vienna,2523 N Clark St,,,Chicago,IL,60614,41.928489,-87.642033,618,4.0,$
416,RM Champagne,116 N Green St,,,Chicago,IL,60607,41.8835832,-87.6487261,618,4.0,$$$
417,Joy Yee's Noodle Shop,1335 S Halsted St,,,Chicago,IL,60608,41.8643301355842,-87.6467004576721,617,3.5,$$
418,New Wave Coffee,3103 W Logan Blvd,,,Chicago,IL,60647,41.9280948489904,-87.7050878852606,616,3.0,$
419,Fado Irish Pub,100 W Grand Ave,,,Chicago,IL,60610,41.8918,-87.63145,614,4.0,$$
420,Eddie V's Prime Seafood and Steaks,521 N Rush St,Ste R01,,Chicago,IL,60611,41.891544320187,-87.6252151962952,611,4.5,$$$
421,ARAMI,1829 W Chicago Ave,,,Chicago,IL,60622,41.8960345011502,-87.6733909357176,611,4.0,$$$
422,Park Tavern,5433 Park Pl,,,Rosemont,IL,60018,41.978316,-87.867798,610,3.0,$$
423,Al's Beef,169 W Ontario St,,,Chicago,IL,60654,41.89302,-87.6337999,610,3.5,$
424,Saucy Porka,400 S Financial Pl,,,Chicago,IL,60605,41.8765020444174,-87.6331966288361,608,4.5,$
425,Prasino,93 S La Grange Ave,,,La Grange,IL,60525,41.812863,-87.869234,607,4.0,$$
426,Southern Cut Barbeque,198 E Delaware Pl,,,Chicago,IL,60611,41.8994131791425,-87.6220517233197,606,3.5,$$
427,Pierrot Gourmet,108 E Superior St,,Peninsula Chicago Hotel,Chicago,IL,60611,41.8958148392202,-87.625353483667,605,4.0,$$
428,Buona Terra,2535 N California Ave,,,Chicago,IL,60647,41.92788,-87.69722,602,4.5,$$
429,Feed,2803 W Chicago Ave,,,Chicago,IL,60622,41.895473,-87.696973,600,4.0,$
430,Libertad,7931 Lincoln Ave,,,Skokie,IL,60077,42.02558,-87.75488,600,4.5,$$
431,Atwood,1 W Washington St,,,Chicago,IL,60602,41.88304,-87.62826,599,3.5,$$$
432,El Hefe,15 W Hubbard St,,,Chicago,IL,60654,41.8900083,-87.628553,599,3.0,$$
433,Moe's Cantina- River North,155 W Kinzie St,,,Chicago,IL,60654,41.88882,-87.6332,599,2.5,$$
434,Dove's Luncheonette,1545 N Damen Ave,,,Chicago,IL,60622,41.909487,-87.677293,598,4.0,$$
435,Su Casa Restaurant,49 E Ontario St,,,Chicago,IL,60611,41.893125,-87.626199,597,3.0,$$
436,Chicago Curry House,899 S Plymouth Ct,,,Chicago,IL,60605,41.87086,-87.62846,597,3.5,$$
437,The Walnut Room,111 N State St,,,Chicago,IL,60602,41.8838107238422,-87.6270385870331,596,3.0,$$
438,Rangoli,2421 W North Ave,,,Chicago,IL,60647,41.910198,-87.68809,594,4.0,$$
439,Ping Pong,3322 N Broadway St,,,Chicago,IL,60657,41.9424108,-87.6446454,594,3.5,$$
440,Kings Dining & Entertainment - Rosemont,5505 Park Pl,,,Rosemont,IL,60018,41.97909,-87.86809,594,3.5,$$
441,The Rosebud,1500 W Taylor St,,,Chicago,IL,60607,41.869524,-87.664293,594,4.0,$$
442,Lou Malnati's Pizzeria,6649 N Lincoln Ave,,,Lincolnwood,IL,60712,42.0021534,-87.7255547,593,4.0,$$
443,Uncle Mike's Place,1700 W Grand Ave,,,Chicago,IL,60622,41.89117,-87.66986,593,4.0,$$
